Month,Sector,PE,ROE
2011-09,CONS,,
2011-09,CONSUMP,,
2011-09,ENERG,7.43,20.64
2011-09,ETRON,6.84,11.65
2011-09,FASHION,8.12,9.57
2011-09,FIN,7.12,13.43
2011-09,FINCIAL,,
2011-09,FOOD,14.39,20.92
2011-09,HELTH,20.98,18.85
2011-09,HOME,6.76,12.46
2011-09,ICT,21.87,19.24
2011-09,IMM,6.71,12.53
2011-09,INDUS,,
2011-09,INSUR,12.4,18.69
2011-09,MAIIND,,14.99
2011-09,MEDIA,15.45,24.61
2011-09,MEDSIZE,16.01,14.99
2011-09,MINE,21.34,-9.61
2011-09,PAPER,21.28,4.12
2011-09,PERSON,11.85,14.31
2011-09,PETRO,7.5,31.48
2011-09,PF&REIT,,
2011-09,PKG,3.93,30.41
2011-09,PROF,,-6.91
2011-09,PROP,14.81,11.68
2011-09,PROPCON,,
2011-09,RESOURC,,
2011-09,SERVICE,,
2011-09,STEEL,,-4.95
2011-09,TECH,,
2011-09,TOURISM,12.79,11.49
2011-09,TRANS,334.23,1.67
2011-10,AGRI,8.62,14.33
2011-10,AGRO,,
2011-10,AUTO,12.79,-0.96
2011-10,BANK,11.25,14.12
2011-10,COMM,24.43,21.71
2011-10,CONMAT,10.17,18.4
2011-10,CONS,,
2011-10,CONSUMP,,
2011-10,ENERG,8.57,18.59
2011-10,ETRON,6.48,3.22
2011-10,FASHION,8.4,6.97
2011-10,FIN,6.99,7.46
2011-10,FINCIAL,,
2011-10,FOOD,15.39,21.08
2011-10,HELTH,21.73,18.68
2011-10,HOME,6.47,10.41
2011-10,ICT,21.83,27.74
2011-10,IMM,7.05,16.76
2011-10,INDUS,,
2011-10,INSUR,11.3,6.17
2011-10,MAIIND,,13.51
2011-10,MEDIA,15.27,20.83
2011-10,MEDSIZE,15.61,13.51
2011-10,MINE,20.77,0.59
2011-10,PAPER,19.79,4.98
2011-10,PERSON,11.66,8.73
2011-10,PETRO,9.45,11.07
2011-10,PF&REIT,,
2011-10,PKG,4.33,20.34
2011-10,PROF,,-7.36
2011-10,PROP,13.96,9.39
2011-10,PROPCON,,
2011-10,RESOURC,,
2011-10,SERVICE,,
2011-10,STEEL,,-4.39
2011-10,TECH,,
2011-10,TOURISM,13.24,1.69
2011-10,TRANS,313.12,-2.04
2011-11,AGRI,9.2,14.33
2011-11,AGRO,,
2011-11,AUTO,12.45,-0.96
2011-11,BANK,10.23,14.12
2011-11,COMM,24.78,21.71
2011-11,CONMAT,8.99,18.4
2011-11,CONS,,
2011-11,CONSUMP,,
2011-11,ENERG,8.97,18.59
2011-11,ETRON,8.33,3.22
2011-11,FASHION,9.0,6.97
2011-11,FIN,8.01,7.46
2011-11,FINCIAL,,
2011-11,FOOD,15.34,21.08
2011-11,HELTH,22.13,18.68
2011-11,HOME,7.76,10.41
2011-11,ICT,24.07,27.74
2011-11,IMM,8.42,16.76
2011-11,INDUS,,
2011-11,INSUR,11.88,6.17
2011-11,MAIIND,,13.51
